codigo,descripcion
0000.01.01.000V,RACIONES PARA DESAYUNO
0000.01.02.000C,RACIONES PARA ALMUERZO O CENA
0000.01.03.100Q,LECHE
0000.01.03.200W,LOS DEMAS PRODUCTOS LACTEOS
0000.01.04.000T,AGUAS Y BEBIDAS SIN ALCOHOL
0000.01.05.100F,VINOS Y CHAMPAGNE
0000.01.05.200L,CERVEZAS
0000.01.05.900Z,LAS DEMAS BEBIDAS ALCOHOLICAS
0000.01.06.000H,OTRAS PROVISIONES
0000.02.01.100M,UTENSILLOS PARA LIMPIEZA
0000.02.01.200T,PRODUCTOS PARA LIMPIEZA
0000.02.02.000P,"TABACO, CIGARROS Y CIGARRILLOS"
0000.02.03.000X,AGUAS Y BEBIDAS SIN ALCOHOL
0000.02.04.100K,VINOS Y CHAMPAGNE
0000.02.04.200Q,CERVEZAS
0000.02.04.900D,LAS DEMAS BEBIDAS ALCOHOLICAS
0000.02.05.100T,CARNES
0000.02.05.200Y,PESCADOS Y MARISCOS
0000.02.05.300D,FRUTAS Y VERDURAS
0000.02.05.400J,PRODUCTOS PANIFICADOS
0000.02.05.500P,PRODUCTOS EN CONSERVA
0000.02.05.900L,LOS DEMAS ALIMENTOS
0000.02.06.000V,PINTURAS Y BARNICES
0000.02.07.000C,REPUESTOS
0000.02.08.000K,OTRAS PROVISIONES
0000.03.00.100R,Mercaderias arribadas por via acuatica que trasborden por via acuatica
0000.03.00.200X,Mercaderias arribadas por via aerea que trasborden por via acuatica hacia el exterior
0000.03.00.300C,Mercaderias arribadas por via terrestre que trasborden por via acuatica hacia el exterior
0000.03.00.400H,Mercaderias arribadas por cualquier via que trasborden por via acuatica hacia el Sector Antartico
0000.04.01.000F,Importacion para consumo de mercaderias en caracter de donacion Ley 23.871.
0000.04.02.000N,Importacion de Automotores equipados con mecanismos apropiados para ser conducidos por personas discapacitadas.- Ley 19.279 y modificatorias.
0000.04.03.000W,Importacion a consumo de mercaderias destinadas a  bomberos - LEY 25054 y sus modificaciones.
0000.04.04.100J,"Mudanzas, equipaje no acompa?ado. Resolucion Nro. 3751/94 (ANA) y sus modificatorias - ANEXO V  ""A""-, Ley 25.871 , su mod. y compl., Decreto Nro. 616/10, Resolucion General Nro. 3109 (AFIP)."
0000.04.04.200P,"Automotores, velocipedos y motociclos en condicion de usados. Res. ANA Nro. 1568/92. Avisos Nro. 44/02 y 49/02 (DE TEEX)."
0000.04.04.300V,Automoviles en condicion de usados. Res.Gral. Nro. 3109.
0000.04.04.400A,Mudanzas Servicio Exterior de la Nacion. Ley 20957.
0000.04.04.500F,"Mudanzas Funcionarios del Estado para cumplir Misiones Oficiales, Decreto Nro. 3934/75."
0000.04.04.600L,"Mudanzas, equipaje no acompa?ado bajo el regimen de Franquicias Diplomaticas, excluidos los automoviles. Decreto Nro. 25/70 y sus modificatorios, categorias comprendidas en el Art. Nro. 8."
0000.04.04.700R,"Mudanzas, equipaje no acompa?ado bajo el regimen de Franquicias Diplomaticas, excluidos los automoviles. Decreto Nro. 25/70 y sus modificatorios, categorias no comprendidas en el Art. Nro. 8"
0000.04.04.800X,Instrumentos cientificos o profesionales en caracter de equipaje acompa?ado pertenecientes a viajeros. Resolucion N? 3751/94 (ANA) y sus modificatorias que por su valor requieran la constitucion de una garantia
0000.04.05.000L,Importacion para consumo efectuada por Caritas Argentina. Ley Nro 22614.
0000.04.06.000U,Importacion de mercaderias por Asociaciones Cooperadoras Escolares. Ley Nro. 14613.
0000.04.07.000B,Importacion y Exportacion para consumo de mercaderias en caracter de donacion realizada en el marco del Convenio de Cooperacion Tecnica con la Repoblica Argentina.
0000.04.08.000J,"Importacion y exportacion de equipos y materiales efectuadas por la Entidad Binacional Yacyreta, sus contratistas, subcontratistas y proveedores, con destino a la ejecucion de las obras acordadas en el Tratado suscripto entre la Republica Argentina y la Republica del Paraguay. Ley Nro. 20646. Resolucion Nro. 1793/86 (ANA)."
0000.04.09.000R,"Ingreso / egreso de materiales anatomicos y/o tejidos con fines de implante, de estudio o de investigacion, provenientes de cadaveres o de seres humanos, efectuado por el Instituto Nacional Central Unico Coordinador de Ablacion e Implante (INCUCAI). Ley N? 27.447."
0000.04.10.000H,Ingreso / Egreso de correspondencia. Documentacion efectuada por Prestadores de Servicios Postales/Courier (PSP/Courier)
0000.04.11.000Q,Importacion de diarios por salon.
0000.04.12.100D,"Importacion definitiva para consumo de mercaderias sin finalidad comercial y/o industrial por parte de personas fisicas, incluidos los medicamentos para uso del destinatario y los animales domesticos y de compa?ia. Resolucion General 3.172."
